rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
1255,Taiwan Cooperative Financial,Taiwan,470.6,Taiwan,2975,7114,114641,Tsan-Chang Liao,Regional Banks,
1791,Taiwan Mobile,Taiwan,457,Taiwan,3956,12297,5325,Chun Cheng,Telecommunications services,
118,Taiwan Semiconductor,Taiwan,11513.8,Taiwan,33064,203024,70280,Te Liu,Semiconductors,
400,Takeda Pharmaceutical,Japan,1695.9,Japan,15925,33396,39153,Masanobu Komoda,Pharmaceuticals,
508,Talanx,Germany,758,Germany,37965,10544,182649,Torsten Leue,Diversified Insurance,
1814,Tapestry,United States,337.5,New York,5530,13251,6588,Victor Luís,Apparel/Footwear Retail,New York
1411,Targa Resources,United States,196,Texas,9238,10561,14753,Bob Perkins,Oil & Gas Operations,Texas
242,Target,United States,2934,Minnesota,71879,37649,38999,Brian Cornell,Discount Stores,Minnesota
404,Tata Consultancy Services,India,4006.1,India,19096,98445,16298,Rajesh Gopinathan,Computer Services,
385,Tata Motors,India,1713.8,India,43028,16816,44606,Günter Butschek,Auto & Truck Manufacturers,
1007,Tata Steel,India,303.1,India,19867,10155,26672,Thachat Narendran,Iron & Steel,
577,Tatneft,Russia,2111.1,Russia,11949,25551,19236,Nail Maganov,Oil & Gas Operations,
1621,Taylor Wimpey,United Kingdom,715.1,United Kingdom,5106,8672,6720,Peter Redfern,Construction Services,
1441,Tech Data,United States,116.6,Florida,36775,3133,12653,Robert Dutkowsky,Electronics,Florida
1912,Tech Mahindra,India,486.4,India,4640,9693,4516,Chander Gurnani,,
936,Technipfmc,United Kingdom,227.1,United Kingdom,14810,14789,28528,C. Vijayakumar,Oil Services & Equipment,
1553,Techtronic Industries,Hong Kong,470.6,Hong Kong,6064,11191,5598,Joseph Galli Jr.,Household/Personal Care,
606,Teck Resources,Canada,2100.5,Canada,9541,15956,29392,Donald Lindsay,Diversified Metals & Mining,
1985,Telecom Argentina,Argentina,460.8,Argentina,3945,10178,3149,Carlos Moltini,Telecommunications services,
378,Telecom Italia,Italy,1264.4,Italy,22365,20241,83642,Amos Genish,Telecommunications services,
123,Telefónica,Spain,3399.5,Spain,59676,51115,141157,José María López,Telecommunications services,
493,Telenor,Norway,1576.3,Norway,14957,32374,25022,Sigve Brekke,Telecommunications services,
723,Teliasonera,Sweden,673.9,Sweden,9646,21940,30112,Johan Dennelind,Telecommunications services,
720,Telkom Indonesia,Indonesia,1576.9,Indonesia,9642,25777,15006,Alex Sinaga,Telecommunications services,
364,Telstra,Australia,2915.1,Australia,19907,28682,32993,Andrew Penn,Telecommunications services,
503,Tenaga Nasional,Malaysia,1923,Malaysia,11043,23084,35650,Azman Mohammed,Electric Utilities,
1055,Tenaris,Luxembourg,565.9,Luxembourg,5967,23019,14724,Paolo Rocca,Oil Services & Equipment,
105,Tencent Holdings,China,10605.5,China,35269,491253,85177,Hua Ma,Computer Services,
1270,Tenet Healthcare,United States,-552,Texas,19065,3335,23184,Ronald Rittenmeyer,Healthcare Services,Texas
1189,Terna,Italy,776.4,Italy,2463,11706,20447,Luigi Ferraris,Electric Utilities,
1186,Ternium,Luxembourg,905,Luxembourg,9720,7841,12415,Máximo Vedoya,Iron & Steel,
1151,Terumo,Japan,823.7,Japan,5303,20082,9635,Shinjiro Sato,Medical Equipment & Supplies,
276,Tesco,United Kingdom,1298,United Kingdom,75377,32657,61813,David Lewis,Food Retail,
811,Tesla,United States,-2340.7,California,12471,51118,27271,Elon Musk,Auto & Truck Manufacturers,California
704,Teva Pharmaceutical,Israel,-15836.4,Israel,21830,19596,69181,Kåre Schultz,Pharmaceuticals,
412,Texas Instruments,United States,4017,Texas,15348,106947,17507,Richard Templeton,Semiconductors,Texas
998,Textron,United States,395,Rhode Island,14401,16845,14968,Scott Donnelly,Conglomerates,Rhode Island
1123,Thai Beverage,Thailand,873.6,Thailand,5563,15232,12569,Thapana Sirivadhanabhakdi,Beverages,
1451,Thai Oil,Thailand,732.5,Thailand,9943,5765,6999,Atikom Terbsiri,Oil & Gas Operations,
532,Thales,France,926.8,France,17816,28030,28017,Florentino Rodríguez,Aerospace & Defense,
1957,Thanachart Capital,Thailand,220.7,Thailand,2015,1847,32815,Suphadej Poonpipat,Major Banks,
668,The Estée Lauder Companies,United States,1151,New York,13282,51455,12772,Fabrizio Freda,Household/Personal Care,New York
240,Thermo Fisher Scientific,United States,2252.5,Massachusetts,22006,87123,56580,Marc Casper,Precision Healthcare Equipment,Massachusetts
1983,Thomas Cook Group,United Kingdom,16.5,United Kingdom,11409,2833,8875,Peter Fankhauser,Business & Personal Services,
555,Thomson Reuters,Canada,1383.2,Canada,11331,26795,26480,Jim Smith,Printing & Publishing,
1895,Thor Industries,United States,438.9,Indiana,8153,5061,2709,Robert Martin,Recreational Products,Indiana
724,ThyssenKrupp Group,Germany,-941.8,Germany,46861,17258,40671,Heinrich Hiesinger,Conglomerates,
159,Time Warner,United States,5453,New York,31532,73389,68997,Jeffrey Bewkes,Broadcasting & Cable,New York
1606,Tingyi Holding,China,269.6,China,8726,11177,8308,Chun-Hsien Wei,Food Processing,
1692,Toho Bank,Japan,66.2,Japan,611,986,56673,Seishi Kitamura,Regional Banks,
1009,Tohoku Electric Power,Japan,426,Japan,18689,6584,39701,Makoto Kaiwa,Electric Utilities,
190,Tokio Marine Holdings,Japan,1828.7,Japan,47641,35929,206911,Tsuyoshi Nagano,Property & Casualty Insurance,
1118,Tokyo Century,Japan,463.1,Japan,9133,7153,35350,Toshihito Tamba,Rental & Leasing,
414,Tokyo Electric Power,Japan,2869.9,Japan,52791,8233,118400,Takashi Kawamura,Electric Utilities,
746,Tokyo Electron,Japan,1844,Japan,10202,32884,11365,Toshiki Kawai,Semiconductors,
808,Tokyo Gas,Japan,676.6,Japan,16036,12192,21953,Michiaki Hirose,Natural Gas Utilities,
1769,Tokyo TY Financial Group,Japan,54.2,Japan,731,818,49078,Takashi Sakamoto,Regional Banks,
971,Tokyu,Japan,632.5,Japan,10273,10243,21294,Hirofumi Nomoto,Railroads,
1683,Tokyu Fudosan,Japan,317.5,Japan,7815,4788,20468,Yuji Okuma,Real Estate,
1871,Toll Brothers,United States,597.2,Pennsylvania,6070,6477,9618,Douglas Yearley Jr.,Construction Services,Pennsylvania
1937,Tomony Holdings,Japan,104.6,Japan,582,752,33497,Seiji Toyama,Regional Banks,
1923,Tongling Nonferrous Metals,China,91.6,China,12334,4321,7728,Pei Jiang,Diversified Metals & Mining,
1782,Tongyang Life Insurance,South Korea,102.5,South Korea,5551,1122,28332,Han-Suh Koo,Life & Health Insurance,
1210,Top Frontier Investment Holdings,Philippines,244.3,Philippines,16385,1682,29984,Ramon Ang,Oil & Gas Operations,
1318,Toppan Printing,Japan,423.3,Japan,12916,5344,18981,Naoki Adachi,Printing & Publishing,
678,Toray Industries,Japan,865.4,Japan,19894,13655,24381,Akihiro Nikkaku,Diversified Chemicals,
1075,Torchmark,United States,1494.2,Texas,4202,9711,23182,Gary Coleman,Life & Health Insurance,Texas
749,Toshiba,Japan,-3621.7,Japan,38674,17040,39864,Nobuaki Kurumatani,Electronics,
1543,Tosoh,Japan,801.2,Japan,7424,5970,8019,Kenichi Udagawa,Diversified Chemicals,
26,Total,France,8391.1,France,155776,168012,257022,Patrick Pouyanné,Oil & Gas Operations,
1403,Total System Services,United States,621.5,Georgia,4730,16099,7532,M. Woods,Business & Personal Services,Georgia
959,Towngas,Hong Kong,1055.5,Hong Kong,4167,30007,16768,Wing Chan,Natural Gas Utilities,
1736,Toyota Boshoku,Japan,385.8,Japan,12627,3842,7001,Shuhei Toyoda,Auto & Truck Parts,
435,Toyota Industries,Japan,1517.4,Japan,18081,19985,49445,Tetsuro Toyoda,Auto & Truck Parts,
12,Toyota Motor,Japan,22502.2,Japan,265165,200682,473044,Takeshi Uchiyamada,Auto & Truck Manufacturers,
473,Toyota Tsusho,Japan,1175,Japan,58566,13142,40527,Jun Karube,Trading Companies,
1672,Tractor Supply,United States,433.7,Tennessee,7375,8624,3208,Gregory Sandfort,Specialty Stores,Tennessee
360,TransCanada,Canada,2529.8,Canada,10468,39085,69041,Russell Girling,Oil Services & Equipment,
1364,TransDigm Group,United States,719.3,Ohio,3613,17503,10395,Kevin Stein,Aerospace & Defense,Ohio
1777,TransUnion,United States,451.9,Illinois,2016,12788,5164,James Peck,,Illinois
667,Transneft,Russia,3291,Russia,15161,4391,50485,Nikolay Tokarev,Oil Services & Equipment,
1377,Transurban Group,Australia,358,Australia,2270,19909,19577,Louis Charlton,Other Transportation,
234,Travelers,United States,2092,New York,29258,35472,103676,Alan Schnitzer,Property & Casualty Insurance,New York
1294,Turkish Airlines,Turkey,475,Turkey,11699,5226,18507,Bilal Eksi,Airline,
198,Twenty-First Century Fox,United States,4020,New York,29207,70286,53978,James Murdoch,Diversified Media,New York
1729,Twitter,United States,14.5,California,2560,24650,7539,Dick Costolo,,California
1556,Two Harbors Investment,United States,611.4,New York,1117,2730,24077,Tom Siering,Real Estate,New York
362,Tyson Foods,United States,2787,Arkansas,39983,24612,28091,Thomas Hayes,Food Processing,Arkansas
1014,UBI Banca,Italy,778.9,Italy,5306,5834,152953,Letizia Moratti,Regional Banks,
163,UBS,Switzerland,1452.7,Switzerland,40340,61802,960083,Sergio Ermotti,Major Banks,
1098,UC Rusal,Cyprus,1222.8,Cyprus,9970,3871,16013,Evgeny Nikitin,Aluminum,
1223,UCB,Belgium,849.3,Belgium,5110,14162,11908,Jean-Christophe Tellier,Pharmaceuticals,
